IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
060372156,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,04/07/2006,11:30,MISSION,NONE,24TH ST / MISSION ST,-122.418448186101,37.7522391652625,"(37.7522391652625, -122.418448186101)"
140920021,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,10/29/2014,18:00,MISSION,"ARREST, BOOKED",3900 Block of CESAR CHAVEZ ST,-122.428184221102,37.7476836813331,"(37.7476836813331, -122.428184221102)"
091093222,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,10/23/2009,05:00,PARK,NONE,300 Block of LAGUNAHONDA BL,-122.458680189782,37.7481554692332,"(37.7481554692332, -122.458680189782)"
091310866,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,12/25/2009,22:21,RICHMOND,"ARREST, BOOKED",25TH AV / GEARY BL,-122.484731728932,37.780091707804,"(37.780091707804, -122.484731728932)"
061064946,NON-CRIMINAL,TRAFFIC ACCIDENT,Thursday,10/05/2006,21:43,NORTHERN,"ARREST, BOOKED",LINDEN ST / BUCHANAN ST,-122.42782241825,37.7757866700925,"(37.7757866700925, -122.42782241825)"
120177270,NON-CRIMINAL,TRAFFIC ACCIDENT,Saturday,03/03/2012,01:10,SOUTHERN,NONE,MISSION ST / 3RD ST,-122.402027706948,37.7862483456629,"(37.7862483456629, -122.402027706948)"
090158766,NON-CRIMINAL,TRAFFIC ACCIDENT,Thursday,02/12/2009,22:50,NORTHERN,"ARREST, BOOKED",2000 Block of LAGUNA ST,-122.42906892306,37.7899968072158,"(37.7899968072158, -122.42906892306)"
030105664,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,01/26/2003,18:12,BAYVIEW,"ARREST, BOOKED",1300 Block of RHODE ISLAND ST,-122.401484172896,37.7526399796005,"(37.7526399796005, -122.401484172896)"
080990772,NON-CRIMINAL,TRAFFIC ACCIDENT,Thursday,09/18/2008,09:23,INGLESIDE,"ARREST, CITED",3100 Block of MISSION ST,-122.418609719102,37.7474453071495,"(37.7474453071495, -122.418609719102)"
071196250,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,11/21/2007,22:06,BAYVIEW,"ARREST, BOOKED",0 Block of CASHMERE ST,-122.382705072801,37.7358858148594,"(37.7358858148594, -122.382705072801)"
110677092,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,08/23/2011,18:15,BAYVIEW,NONE,INGALLS ST / PALOU AV,-122.383433948755,37.7297381449981,"(37.7297381449981, -122.383433948755)"
080736190,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,07/08/2008,10:00,MISSION,"ARREST, CITED",500 Block of SOUTH VAN NESS AV,-122.41747701285,37.764357751686,"(37.764357751686, -122.41747701285)"
060383943,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,04/10/2006,12:40,PARK,"ARREST, BOOKED",0 Block of MARVIEW WY,-122.450395204737,37.7538236167793,"(37.7538236167793, -122.450395204737)"
120196521,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,03/09/2012,16:00,NORTHERN,NONE,TURK ST / FILLMORE ST,-122.432142776025,37.780495583709,"(37.780495583709, -122.432142776025)"
031503576,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,12/28/2003,22:50,TENDERLOIN,"ARREST, BOOKED",ELLIS ST / JONES ST,-122.412784096509,37.7848656939297,"(37.7848656939297, -122.412784096509)"
080503808,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,05/14/2008,07:39,NORTHERN,"ARREST, BOOKED",2300 Block of VALLEJO ST,-122.435941970639,37.7950646848536,"(37.7950646848536, -122.435941970639)"
141066309,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,12/19/2014,17:16,PARK,UNFOUNDED,MASONIC AV / GEARY BL,-122.448043124454,37.7823710354886,"(37.7823710354886, -122.448043124454)"
090983024,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,09/22/2009,12:15,INGLESIDE,NONE,0 Block of PHELAN AV,-122.452289660492,37.7256933575703,"(37.7256933575703, -122.452289660492)"
100180328,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,02/23/2010,13:45,TARAVAL,NONE,OCEAN AV / JULES AV,-122.461208520613,37.724950248764,"(37.724950248764, -122.461208520613)"
130360841,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,05/03/2013,22:50,MISSION,NONE,800 Block of POTRERO AV,-122.406725329529,37.7585641691709,"(37.7585641691709, -122.406725329529)"
070711754,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,07/15/2007,06:00,BAYVIEW,"ARREST, BOOKED",800 Block of GIRARD ST,-122.402390932043,37.7218958376193,"(37.7218958376193, -122.402390932043)"
090843161,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,08/18/2009,09:50,INGLESIDE,NONE,0 Block of PHELAN AV,-122.452289660492,37.7256933575703,"(37.7256933575703, -122.452289660492)"
030781399,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,06/23/2003,12:00,MISSION,NONE,21ST ST / DOUGLASS ST,-122.438863733324,37.7554321226188,"(37.7554321226188, -122.438863733324)"
140931200,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,11/03/2014,13:49,MISSION,NONE,1900 Block of MISSION ST,-122.419814593811,37.7658427213372,"(37.7658427213372, -122.419814593811)"
